insee,commune,dep,lon,lat,pt,Température moyenne annuelle (°C)__reference,Température moyenne annuelle (°C)__basse,Température moyenne annuelle (°C)__mediane,Température moyenne annuelle (°C)__haute,Température moyenne en été (°C)__reference,Température moyenne en été (°C)__basse,Température moyenne en été (°C)__mediane,Température moyenne en été (°C)__haute,Température moyenne en hiver (°C)__reference,Température moyenne en hiver (°C)__basse,Température moyenne en hiver (°C)__mediane,Température moyenne en hiver (°C)__haute,Nombre de jours avec Tx ≥ 35°C (j/an)__reference,Nombre de jours avec Tx ≥ 35°C (j/an)__basse,Nombre de jours avec Tx ≥ 35°C (j/an)__mediane,Nombre de jours avec Tx ≥ 35°C (j/an)__haute,Nombre de nuits tropicales (j/an)__reference,Nombre de nuits tropicales (j/an)__basse,Nombre de nuits tropicales (j/an)__mediane,Nombre de nuits tropicales (j/an)__haute,Cumul de précipitations annuelles (mm)__reference,Cumul de précipitations annuelles (mm)__basse,Cumul de précipitations annuelles (mm)__mediane,Cumul de précipitations annuelles (mm)__haute
62356,Fresnicourt-le-Dolmen,62,2.6038695001632663,50.42474887681017,,9.803813695682296,12.5602221348049,12.790498408718546,13.04105095654584,16.588564491323027,19.046354300013856,19.912210191309168,20.65221019130917,3.199615447868865,5.019339173955219,5.899062900041573,6.577405256559697,0.1,0.6,2.1027627391364603,5.19723726086354,0.3944745217270802,3.075135347771861,6.950270695543722,10.211592347633283,863.4678905085543,806.4511962833687,942.1335186866748,1054.5558059751709
62825,Tortequesne,62,3.0321083844080907,50.29090186026095,,10.565522971474437,13.358211263816234,13.551157756829912,13.82359320666194,17.62500121196855,20.285645331583737,20.945254054478312,21.652169126868976,3.7179691376307065,5.558733023322123,6.410657429972501,7.070146386790849,0.1948895681834881,1.4974179932811449,3.533377701191037,6.28208669783161,1.092307561464633,7.905082790526026,12.272849168476066,16.230768053181695,686.8426272176433,648.3581986984896,757.2687993522468,833.0039632685132
59038,Avesnes-le-Sec,59,3.37110197545529,50.24839921135985,,10.56,13.37,13.58,13.81,17.74,20.4,21.17,21.81,3.59,5.45,6.32,6.98,0.1,1.7,3.4,6.9,1.2,8.4,12.9,18.0,717.75,672.03,783.47,865.79
59521,Sailly-lez-Cambrai,59,3.179470400053832,50.19848005907046,,10.51,13.35,13.54,13.8,17.7,20.4,21.07,21.75,3.54,5.41,6.24,6.92,0.1,1.6,3.3,6.3,1.2,8.6,13.4,17.6,719.46,674.41,796.94,855.15
59077,Bettrechies,59,3.740222329964656,50.32214511787733,,10.19,12.94,13.21,13.48,17.39,20.03,20.82,21.55,3.18,5.03,5.88,6.59,0.1,0.9,3.1,6.3,1.0,7.2,11.4,15.9,734.93,691.04,790.52,882.05
62909,Ytres,62,2.9959606422616614,50.06512990276328,,9.972066991110893,12.841033495555449,13.011033495555443,13.281033495555445,17.04206699111089,19.72103349555544,20.481033495555447,21.17103349555545,3.1810334955554462,5.042066991110893,5.9010334955554455,6.622066991110892,0.2,1.9,3.7,6.3,0.5,4.110334955554462,7.2,9.868995133336613,680.1019610666929,636.5372917266723,764.8545548244523,808.5439335799774
62114,Bermicourt,62,2.2332535391917263,50.40768057701812,,9.986240308618552,12.724094433229618,12.965570824922212,13.237047216614808,16.694566599377705,19.050609590448005,20.05946794060358,20.72503876552579,3.459390409551996,5.27757927601123,6.169055667703827,6.81724453416306,0.1,0.7261804153702174,2.281888664592348,5.393305163036608,0.4,3.3523608307404347,7.008069079962565,10.4,873.2836453790692,829.6034337254302,939.2883457246209,1021.9696527181194
62530,Lottinghen,62,1.936397083367473,50.67750896548126,,9.71,12.32,12.64,12.99,16.17,18.36,19.44,20.17,3.39,5.19,6.19,6.75,0.1,0.2,1.5,4.1,0.3,1.9,5.8,10.4,1004.74,961.57,1065.67,1248.56
62278,Drouvin-le-Marais,62,2.6330859307899748,50.48978249610908,,10.29,12.92,13.16,13.43,16.89,19.27,19.99,20.73,3.89,5.7,6.57,7.19,0.1,0.6,2.2,5.1,0.2,2.2,5.2,7.1,720.85,678.38,797.25,864.35
59232,La Flamengrie,59,3.7215985598367465,50.30774677921551,,10.19,12.94,13.21,13.48,17.39,20.03,20.82,21.55,3.18,5.03,5.88,6.59,0.1,0.9,3.1,6.3,1.0,7.2,11.4,15.9,734.93,691.04,790.52,882.05
